TSIC,LFS11,ISIC,oneDigit,bigGroup,Note
28170,2817,3000,D,D,
33200,3320,3000,D,D,
26109,2610,3110,D,D,
27101,2710,3110,D,D,
27102,2710,3110,D,D,
27909,2790,3110,D,D,
28110,2811,3110,D,D,
33121,3312,3110,D,D,
33141,3314,3110,D,D,
33200,3320,3110,D,D,
26109,2610,3120,D,D,
27103,2710,3120,D,D,
27330,2733,3120,D,D,
27909,2790,3120,D,D,
33141,3314,3120,D,D,
26109,2610,3130,D,D,
27310,2731,3130,D,D,
27320,2732,3130,D,D,
27909,2790,3130,D,D,
33149,3314,3130,D,D,
27200,2720,3140,D,D,
33142,3314,3140,D,D,
27401,2740,3150,D,D,
27409,2740,3150,D,D,
27902,2790,3150,D,D,
33149,3314,3150,D,D,
25999,2599,3190,D,D,
26309,2630,3190,D,D,
26511,2651,3190,D,D,
27330,2733,3190,D,D,
27409,2740,3190,D,D,
27901,2790,3190,D,D,
27902,2790,3190,D,D,
27909,2790,3190,D,D,
28229,2822,3190,D,D,
29302,2930,3190,D,D,
30200,3020,3190,D,D,
33131,3313,3190,D,D,
33149,3314,3190,D,D,
26101,2610,3210,D,D,
26102,2610,3210,D,D,
26103,2610,3210,D,D,
26104,2610,3210,D,D,
26109,2610,3210,D,D,
27909,2790,3210,D,D,
33149,3314,3210,D,D,
26301,2630,3220,D,D,
26302,2630,3220,D,D,
26303,2630,3220,D,D,
26309,2630,3220,D,D,
26511,2651,3220,D,D,
33131,3313,3220,D,D,
33200,3320,3220,D,D,
,,3220,D,D,"delete TSIC=95120, LFS11=9512"
26109,2610,3230,D,D,
26302,2630,3230,D,D,
26309,2630,3230,D,D,
26401,2640,3230,D,D,
26402,2640,3230,D,D,
26403,2640,3230,D,D,
26409,2640,3230,D,D,
26703,2670,3230,D,D,
28170,2817,3230,D,D,
33121,3312,3230,D,D,
33133,3313,3230,D,D,
,,3230,D,D,"delete TSIC=95210, LFS11=9521"
26600,2660,3311,D,D,
32501,3250,3311,D,D,
32502,3250,3311,D,D,
32903,3290,3311,D,D,
33132,3313,3311,D,D,
33190,3319,3311,D,D,
33200,3320,3311,D,D,
26511,2651,3312,D,D,
26702,2670,3312,D,D,
28199,2819,3312,D,D,
28299,2829,3312,D,D,
32501,3250,3312,D,D,
33131,3313,3312,D,D,
33190,3319,3312,D,D,
26512,2651,3313,D,D,
33131,3313,3313,D,D,
33200,3320,3313,D,D,
26701,2670,3320,D,D,
26702,2670,3320,D,D,
26703,2670,3320,D,D,
27310,2731,3320,D,D,
28299,2829,3320,D,D,
32501,3250,3320,D,D,
33133,3313,3320,D,D,
26521,2652,3330,D,D,
26529,2652,3330,D,D,
32111,3211,3330,D,D,
32120,3212,3330,D,D,
33190,3319,3330,D,D,
29101,2910,3410,D,D,
29102,2910,3410,D,D,
29103,2910,3410,D,D,
29104,2910,3410,D,D,
29109,2910,3410,D,D,
29201,2920,3420,D,D,
29202,2920,3420,D,D,
29203,2920,3420,D,D,
33110,3311,3420,D,D,
13929,1392,3430,D,D,
28110,2811,3430,D,D,
29309,2930,3430,D,D,
30110,3011,3511,D,D,
33151,3315,3511,D,D,
30120,3012,3512,D,D,
33151,3315,3512,D,D,
30200,3020,3520,D,D,
33159,3315,3520,D,D,
28110,2811,3530,D,D,
28299,2829,3530,D,D,
30300,3030,3530,D,D,
33152,3315,3530,D,D,
28110,2811,3591,D,D,
30911,3091,3591,D,D,
30912,3091,3591,D,D,
30921,3092,3592,D,D,
30922,3092,3592,D,D,
28160,2816,3599,D,D,
